team,position,player,salary,AB,R,HR,RBI,SB,AVG,IP,ERA,WHIP,SV,W,K,marginal_total_points,dollar_value
deano,P2,Frankie Montas,5,NA,NA,NA,NA,NA,NA,146.5,4.14,1.3,0,10,147,5.39,7.170000000000009
deano,P3,Clarke Schmidt,1,NA,NA,NA,NA,NA,NA,31,4.81,1.42,0,2,28,-1.81,-5.879999999999994
deano,P4,Aroldis Chapman,29,NA,NA,NA,NA,NA,NA,56,2.88,1.15,33,3,85,8.74,13.240000000000009
deano,P5,Blake Snell,35,NA,NA,NA,NA,NA,NA,154,3.49,1.21,0,12,189,8.76,13.270000000000008
deano,P6,Kwang-hyun Kim,6,NA,NA,NA,NA,NA,NA,162,4.33,1.34,0,10,129,4.55,5.6400000000000095
deano,P7,David Robertson,1,NA,NA,NA,NA,NA,NA,54,3.78,1.26,0,4,65,0.67,-1.3800000000000003
deano,P8,Rich Hill,2,NA,NA,NA,NA,NA,NA,122,4.43,1.31,0,7,118,3.12,3.050000000000005
deano,P9,Zack Britton,2,NA,NA,NA,NA,NA,NA,59,3.46,1.37,6,3,54,1.29,-0.25000000000000094
deano,P10,Trevor May,1,NA,NA,NA,NA,NA,NA,56.5,3.7,1.21,8,3,74,2.57,2.0600000000000005
deano,B1,Vidal Brujan,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
deano,B2,Tristen Casas,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
deano,B3,Josh Fuentes,0,452.1666666666667,53.24800576639193,12.6228796312558,55.80474556567565,2.972685979547074,0.2545,NA,NA,NA,NA,NA,NA,0.8460850206000718,2.841986920476049
deano,B4,Luis Campusano,0,137.4,8.40673199816057,2.067000195571624,9.19163566592138,0,0.2606,NA,NA,NA,NA,NA,NA,-3.7614855090421173,-12.634773525095762
deano,B5,,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
deano,B6,,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
deano,B7,,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
deano,B8,,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
deano,B9,,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
deano,B10,,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
dembums,C1,Pedro Severino,2,271.8333333333333,29.498590973956354,9.043252200050196,31.30663487156998,1.5078247667441693,0.23983333333333332,NA,NA,NA,NA,NA,NA,-1.7744950875722059,1.0394975604786407
dembums,C2,Samuel Huff,2,110.8,1.225803860709521,0.8269800430177789,1.8424705273761879,0.021802935010482184,0.2348,NA,NA,NA,NA,NA,NA,-4.925885138945759,-9.545974453870414
dembums,1B,Luke Voit,11,516.1666666666666,86.57685031925188,33.86960027854866,91.79480918543022,0.16165311653116532,0.26333333333333336,NA,NA,NA,NA,NA,NA,4.775807596173005,16.04186623397205
dembums,2B,Jon Berti,11,397,58.47888122002564,8.051364077274398,39.70575419407999,23.32170386969242,0.24416666666666667,NA,NA,NA,NA,NA,NA,3.6562250686664206,12.281205281352229
dembums,SS,Javier Baez,36,607.8333333333334,84.03853082021266,29.308517770154808,92.12930183198961,12.793170519218558,0.25716666666666665,NA,NA,NA,NA,NA,NA,6.560057478147491,22.035134881886457
