"Name","Team","G","PA","AB","H","2B","3B","HR","R","RBI","BB","SO","HBP","SB","CS","AVG","OBP","SLG","OPS","wOBA","Fld","BsR","WAR","ADP","playerid"
"Delino DeShields","","53","231","203","47","8","2","3","25","20","23","57","2","10","3",".231",".313",".336",".649",".285","-0.7","1.4","0.1","999.0","11379"
"Matt Beaty","Dodgers","50","217","197","51","11","1","6","26","26","14","37","3","2","1",".261",".318",".422",".740",".313","-0.3","-0.1","0.1","999.0","17710"
"Jarren Duran","","28","119","109","30","6","1","2","14","12","7","27","1","5","2",".274",".324",".396",".719",".307","0.0","0.2","0.1","999.0","sa3006786"
"Billy McKinney","Brewers","62","266","237","57","11","2","11","32","33","23","66","2","2","1",".239",".311",".439",".750",".316","-0.1","0.0","0.1","999.0","15654"
"Adam Engel","White Sox","68","294","267","62","13","2","7","32","31","18","81","5","6","2",".231",".289",".372",".661",".283","1.7","0.9","0.1","999.0","15082"
"Jose Martinez","","49","210","186","48","9","1","7","25","25","20","47","1","1","0",".259",".335",".419",".754",".322","0.0","-0.2","0.1","999.0","7996"
"Jonathan Davis","Blue Jays","29","126","111","26","5","1","3","14","13","10","33","3","3","1",".232",".311",".365",".676",".293","-0.5","0.1","0.1","999.0","15104"
"Brock Holt","","55","238","208","49","10","1","4","24","22","23","52","3","2","1",".238",".322",".345",".666",".292","0.4","-0.3","0.1","999.0","9345"
"Cameron Maybin","","52","224","197","47","10","1","5","24","22","23","57","2","5","2",".240",".322",".370",".692",".300","-0.3","0.1","0.1","999.0","5223"
"Ben Gamel","","52","224","196","48","10","1","4","24","21","23","60","2","3","1",".245",".327",".370",".697",".302","-0.2","0.2","0.1","999.0","12160"
"Lane Thomas","Cardinals","29","126","113","27","5","1","4","14","14","10","33","1","3","1",".236",".304",".403",".708",".302","0.1","0.0","0.1","999.0","16939"
"Jarrod Dyson","","49","210","186","42","7","1","3","23","17","19","42","1","10","3",".228",".303",".326",".630",".277","0.4","1.2","0.1","999.0","4866"
"Jose Marmolejos","Mariners","76","329","301","74","15","1","10","34","37","22","82","2","1","1",".245",".299",".403",".701",".297","-0.5","-0.1","0.1","999.0","15767"
